step_number	time	timestep	I_lya	inc_photon_flux	nH_boundary	H1_IF_x	H1_IF_v	HI_IF_v_flxMthd	He1_IF_x	He1_IF_v	He3_IF_x	He3_IF_v	width_IF
5490 	9.640706e+00 	3.230674e-03 	8.953841e-09 	3.869982e+04 	8.846963e-05 	3.080078e+25 	4.635236e+08 	3.996344e+08 	3.082649e+25 	5.144034e+08 	0.000000e+00 	0.000000e+00 	3.292051e+22 	
5625 	1.004233e+01 	3.094706e-03 	8.905517e-09 	3.869713e+04 	8.802194e-05 	3.080663e+25 	4.618362e+08 	4.016122e+08 	3.083287e+25 	5.039718e+08 	0.000000e+00 	0.000000e+00 	3.354524e+22 	
5751 	1.044218e+01 	3.395395e-03 	8.869456e-09 	3.869951e+04 	8.559163e-05 	3.081262e+25 	4.730068e+08 	4.128837e+08 	3.083916e+25 	4.962526e+08 	0.000000e+00 	0.000000e+00 	3.414047e+22 	
5880 	1.084440e+01 	3.312050e-03 	8.848528e-09 	3.869132e+04 	8.239151e-05 	3.081883e+25 	4.903010e+08 	4.286015e+08 	3.084534e+25 	4.880640e+08 	0.000000e+00 	0.000000e+00 	3.442321e+22 	
6018 	1.124536e+01 	3.107721e-03 	8.849994e-09 	3.869408e+04 	8.132119e-05 	3.082516e+25 	5.000957e+08 	4.341914e+08 	3.085138e+25 	4.771106e+08 	0.000000e+00 	0.000000e+00 	3.450932e+22 	
6197 	1.164733e+01 	1.778400e-03 	8.889504e-09 	3.872604e+04 	8.228740e-05 	3.083147e+25 	4.976012e+08 	4.295156e+08 	3.085735e+25 	4.711771e+08 	0.000000e+00 	0.000000e+00 	3.434691e+22 	
6374 	1.205107e+01 	3.185124e-03 	8.945098e-09 	3.870602e+04 	8.319530e-05 	3.083781e+25 	5.010410e+08 	4.246782e+08 	3.086331e+25 	4.707546e+08 	0.000000e+00 	0.000000e+00 	3.391527e+22 	
6544 	1.245230e+01 	3.380679e-03 	9.010737e-09 	3.867576e+04 	8.501312e-05 	3.084398e+25 	4.871079e+08 	4.154028e+08 	3.086907e+25 	4.546149e+08 	0.000000e+00 	0.000000e+00 	3.338865e+22 	
6736 	1.285378e+01 	2.697625e-03 	9.065748e-09 	3.865278e+04 	8.675359e-05 	3.085000e+25 	4.750511e+08 	4.069435e+08 	3.087462e+25 	4.376645e+08 	0.000000e+00 	0.000000e+00 	3.281762e+22 	
6907 	1.325598e+01 	3.158134e-03 	9.134834e-09 	3.861654e+04 	8.770950e-05 	3.085596e+25 	4.701595e+08 	4.021955e+08 	3.088003e+25 	4.277172e+08 	0.000000e+00 	0.000000e+00 	3.223313e+22 	
7075 	1.365462e+01 	3.225882e-03 	9.219832e-09 	3.857904e+04 	8.852680e-05 	3.086182e+25 	4.628220e+08 	3.981499e+08 	3.088524e+25 	4.111626e+08 	0.000000e+00 	0.000000e+00 	3.158989e+22 	
7076 	1.365785e+01 	3.239455e-03 	9.220575e-09 	3.857878e+04 	8.854091e-05 	3.086186e+25 	3.738560e+06 	3.980847e+08 	3.088528e+25 	3.254778e+06 	0.000000e+00 	0.000000e+00 	3.159023e+22 	
7243 	1.405891e+01 	3.033012e-03 	9.311324e-09 	3.853865e+04 	9.116720e-05 	3.086759e+25 	4.521180e+08 	3.863676e+08 	3.089029e+25 	3.948775e+08 	0.000000e+00 	0.000000e+00 	3.081448e+22 	
7386 	1.445890e+01 	3.529822e-03 	9.421171e-09 	3.850620e+04 	9.434457e-05 	3.087317e+25 	4.402810e+08 	3.732070e+08 	3.089492e+25 	3.659658e+08 	0.000000e+00 	0.000000e+00 	2.994911e+22 	
7553 	1.486162e+01 	3.316906e-03 	9.549839e-09 	3.846103e+04 	9.721901e-05 	3.087857e+25 	4.262124e+08 	3.618860e+08 	3.089913e+25 	3.322893e+08 	0.000000e+00 	0.000000e+00 	2.865672e+22 	
7694 	1.526249e+01 	3.549843e-03 	9.722919e-09 	3.841760e+04 	9.982314e-05 	3.088381e+25 	4.140845e+08 	3.521629e+08 	3.090292e+25 	2.988346e+08 	0.000000e+00 	0.000000e+00 	2.732086e+22 	
7851 	1.566320e+01 	1.795073e-03 	9.944807e-09 	3.838326e+04 	1.044430e-04 	3.088885e+25 	3.976038e+08 	3.364628e+08 	3.090634e+25 	2.699943e+08 	0.000000e+00 	0.000000e+00 	2.558921e+22 	
7997 	1.606698e+01 	3.073173e-03 	1.020941e-08 	3.831461e+04 	1.129412e-04 	3.089363e+25 	3.774792e+08 	3.108576e+08 	3.090951e+25 	2.505913e+08 	0.000000e+00 	0.000000e+00 	2.378154e+22 	
8136 	1.646825e+01 	3.248746e-03 	1.048698e-08 	3.826196e+04 	1.253106e-04 	3.089794e+25 	3.403663e+08 	2.800781e+08 	3.091237e+25 	2.261994e+08 	0.000000e+00 	0.000000e+00 	2.184212e+22 	
8273 	1.686879e+01 	3.264034e-03 	1.075864e-08 	3.817362e+04 	1.390926e-04 	3.090180e+25 	3.044886e+08 	2.519822e+08 	3.091499e+25 	2.067547e+08 	0.000000e+00 	0.000000e+00 	2.006069e+22 	
8408 	1.726940e+01 	3.111820e-03 	1.101613e-08 	3.804948e+04 	1.533464e-04 	3.090531e+25 	2.774591e+08 	2.280005e+08 	3.091740e+25 	1.902328e+08 	0.000000e+00 	0.000000e+00 	1.843302e+22 	
8540 	1.767271e+01 	2.350071e-03 	1.125853e-08 	3.787139e+04 	1.680834e-04 	3.090850e+25 	2.512607e+08 	2.071815e+08 	3.091965e+25 	1.776877e+08 	0.000000e+00 	0.000000e+00 	1.688988e+22 	
8655 	1.807485e+01 	3.980587e-03 	1.148828e-08 	3.773166e+04 	1.836957e-04 	3.091145e+25 	2.333819e+08 	1.889891e+08 	3.092179e+25 	1.683592e+08 	0.000000e+00 	0.000000e+00 	1.585583e+22 	
8790 	1.847604e+01 	3.895822e-03 	1.170202e-08 	3.750678e+04 	2.007884e-04 	3.091411e+25 	2.094894e+08 	1.719686e+08 	3.092382e+25 	1.604868e+08 	0.000000e+00 	0.000000e+00 	1.470486e+22 	
8924 	1.887823e+01 	3.802707e-03 	1.189368e-08 	3.739345e+04 	2.187662e-04 	3.091655e+25 	1.926871e+08 	1.574363e+08 	3.092580e+25 	1.563638e+08 	0.000000e+00 	0.000000e+00 	1.390878e+22 	
9057 	1.927993e+01 	3.724536e-03 	1.205830e-08 	3.723410e+04 	2.355719e-04 	3.091880e+25 	1.778918e+08 	1.456394e+08 	3.092776e+25 	1.544426e+08 	0.000000e+00 	0.000000e+00 	1.330304e+22 	
9189 	1.967977e+01 	3.666577e-03 	1.219002e-08 	3.706804e+04 	2.504069e-04 	3.092091e+25 	1.664611e+08 	1.364421e+08 	3.092970e+25 	1.537230e+08 	0.000000e+00 	0.000000e+00 	1.283261e+22 	
