step_number	time	timestep	I_lya	inc_photon_flux	nH_boundary	H1_IF_x	H1_IF_v	HI_IF_v_flxMthd	He1_IF_x	He1_IF_v	He3_IF_x	He3_IF_v	width_IF
14864 	3.976190e+01 	5.925944e-03 	1.459609e-08 	3.300888e+04 	6.641768e-04 	3.100959e+25 	5.217649e+07 	4.594700e+07 	3.101402e+25 	6.292145e+07 	0.000000e+00 	0.000000e+00 	7.253317e+21 	
14951 	4.016181e+01 	3.884818e-03 	1.451847e-08 	3.107222e+04 	6.596753e-04 	3.101030e+25 	5.602361e+07 	4.354988e+07 	3.101479e+25 	6.075343e+07 	0.000000e+00 	0.000000e+00 	6.648261e+21 	
15040 	4.056303e+01 	4.995741e-03 	1.461569e-08 	3.309900e+04 	6.490016e-04 	3.101115e+25 	6.744991e+07 	4.714784e+07 	3.101566e+25 	6.891207e+07 	0.000000e+00 	0.000000e+00 	7.177113e+21 	
15112 	4.096435e+01 	6.370703e-03 	1.459276e-08 	3.296643e+04 	6.404874e-04 	3.101183e+25 	5.380386e+07 	4.758255e+07 	3.101646e+25 	6.268903e+07 	0.000000e+00 	0.000000e+00 	7.433348e+21 	
15207 	4.136667e+01 	4.356624e-03 	1.453906e-08 	3.084076e+04 	6.312643e-04 	3.101258e+25 	5.886333e+07 	4.516846e+07 	3.101727e+25 	6.454530e+07 	0.000000e+00 	0.000000e+00 	6.798495e+21 	
15291 	4.176761e+01 	5.276218e-03 	1.459841e-08 	3.283984e+04 	6.208403e-04 	3.101345e+25 	6.903759e+07 	4.889770e+07 	3.101812e+25 	6.697633e+07 	0.000000e+00 	0.000000e+00 	7.366804e+21 	
15359 	4.217186e+01 	6.895489e-03 	1.453171e-08 	3.282136e+04 	6.123045e-04 	3.101417e+25 	5.653252e+07 	4.955038e+07 	3.101891e+25 	6.237637e+07 	0.000000e+00 	0.000000e+00 	7.549441e+21 	
15461 	4.257076e+01 	4.580047e-03 	1.450275e-08 	3.110120e+04 	6.043130e-04 	3.101498e+25 	6.396996e+07 	4.757751e+07 	3.101974e+25 	6.560937e+07 	0.000000e+00 	0.000000e+00 	7.008645e+21 	
15541 	4.297245e+01 	5.591977e-03 	1.454081e-08 	3.291364e+04 	5.989741e-04 	3.101584e+25 	6.813865e+07 	5.079345e+07 	3.102056e+25 	6.470999e+07 	0.000000e+00 	0.000000e+00 	7.506457e+21 	
15604 	4.337387e+01 	7.509478e-03 	1.447219e-08 	3.260363e+04 	5.945084e-04 	3.101656e+25 	5.699446e+07 	5.069314e+07 	3.102133e+25 	6.063942e+07 	0.000000e+00 	0.000000e+00 	7.558778e+21 	
15712 	4.377928e+01 	4.751750e-03 	1.450157e-08 	3.150873e+04 	5.919957e-04 	3.101745e+25 	6.989761e+07 	4.920114e+07 	3.102219e+25 	6.756602e+07 	0.000000e+00 	0.000000e+00 	7.149115e+21 	
15789 	4.418246e+01 	5.879985e-03 	1.452720e-08 	3.294505e+04 	5.918746e-04 	3.101827e+25 	6.511677e+07 	5.145063e+07 	3.102299e+25 	6.300146e+07 	0.000000e+00 	0.000000e+00 	7.563553e+21 	
15864 	4.457842e+01 	2.429514e-03 	1.446615e-08 	3.231643e+04 	5.917714e-04 	3.101898e+25 	5.550233e+07 	5.047934e+07 	3.102372e+25 	5.804698e+07 	0.000000e+00 	0.000000e+00 	7.465773e+21 	
15865 	4.458085e+01 	2.534853e-03 	1.446625e-08 	3.230496e+04 	5.917707e-04 	3.101898e+25 	3.741436e+05 	5.046152e+07 	3.102373e+25 	3.753733e+05 	0.000000e+00 	0.000000e+00 	7.462377e+21 	
15959 	4.498077e+01 	4.897116e-03 	1.453894e-08 	3.191121e+04 	5.938437e-04 	3.101989e+25 	7.199366e+07 	4.967378e+07 	3.102458e+25 	6.770969e+07 	0.000000e+00 	0.000000e+00 	7.212368e+21 	
16033 	4.538165e+01 	6.119503e-03 	1.456090e-08 	3.289565e+04 	5.962968e-04 	3.102067e+25 	6.105839e+07 	5.099328e+07 	3.102536e+25 	6.125062e+07 	0.000000e+00 	0.000000e+00 	7.558846e+21 	
16118 	4.578325e+01 	3.939792e-03 	1.451562e-08 	3.182729e+04 	5.985615e-04 	3.102138e+25 	5.636913e+07 	4.915350e+07 	3.102612e+25 	5.976297e+07 	0.000000e+00 	0.000000e+00 	7.297320e+21 	
16206 	4.618754e+01 	5.085897e-03 	1.459806e-08 	3.215522e+04 	6.023850e-04 	3.102231e+25 	7.339447e+07 	4.934444e+07 	3.102696e+25 	6.669421e+07 	0.000000e+00 	0.000000e+00 	7.250016e+21 	
16277 	4.658950e+01 	6.456194e-03 	1.458678e-08 	3.270213e+04 	6.054979e-04 	3.102305e+25 	5.837266e+07 	4.992473e+07 	3.102772e+25 	6.027010e+07 	0.000000e+00 	0.000000e+00 	7.523650e+21 	
16367 	4.699087e+01 	4.346562e-03 	1.454974e-08 	3.129859e+04 	6.084989e-04 	3.102378e+25 	5.761071e+07 	4.755014e+07 	3.102850e+25 	6.127247e+07 	0.000000e+00 	0.000000e+00 	7.075976e+21 	
16451 	4.739298e+01 	5.277428e-03 	1.462830e-08 	3.231524e+04 	6.107409e-04 	3.102468e+25 	7.138494e+07 	4.891224e+07 	3.102933e+25 	6.566649e+07 	0.000000e+00 	0.000000e+00 	7.308508e+21 	
16519 	4.779455e+01 	6.785304e-03 	1.458390e-08 	3.247369e+04 	6.125054e-04 	3.102540e+25 	5.618262e+07 	4.901030e+07 	3.103009e+25 	6.016713e+07 	0.000000e+00 	0.000000e+00 	7.531499e+21 	
16613 	4.819301e+01 	4.539170e-03 	1.456770e-08 	3.082731e+04 	6.138983e-04 	3.102614e+25 	5.852070e+07 	4.642398e+07 	3.103089e+25 	6.255641e+07 	0.000000e+00 	0.000000e+00 	6.968904e+21 	
16694 	4.859478e+01 	5.480352e-03 	1.464834e-08 	3.219568e+04 	6.130361e-04 	3.102700e+25 	6.835207e+07 	4.854941e+07 	3.103171e+25 	6.484533e+07 	0.000000e+00 	0.000000e+00 	7.374934e+21 	
16760 	4.900247e+01 	7.169989e-03 	1.460202e-08 	3.221975e+04 	6.123327e-04 	3.102771e+25 	5.575350e+07 	4.864137e+07 	3.103248e+25 	6.091033e+07 	0.000000e+00 	0.000000e+00 	7.559651e+21 	
16861 	4.940046e+01 	4.737794e-03 	1.460696e-08 	3.049638e+04 	6.111772e-04 	3.102848e+25 	6.054365e+07 	4.613054e+07 	3.103329e+25 	6.391525e+07 	0.000000e+00 	0.000000e+00 	6.997133e+21 	
16938 	4.979932e+01 	5.748579e-03 	1.466373e-08 	3.207326e+04 	6.088757e-04 	3.102932e+25 	6.681880e+07 	4.869504e+07 	3.103409e+25 	6.333258e+07 	0.000000e+00 	0.000000e+00 	7.454370e+21 	
17000 	5.020403e+01 	7.656199e-03 	1.460291e-08 	3.200888e+04 	6.069588e-04 	3.103003e+25 	5.565411e+07 	4.875069e+07 	3.103485e+25 	6.017470e+07 	0.000000e+00 	0.000000e+00 	7.585204e+21 	
17106 	5.060526e+01 	4.901442e-03 	1.461903e-08 	3.045356e+04 	6.047095e-04 	3.103083e+25 	6.360140e+07 	4.655781e+07 	3.103569e+25 	6.597109e+07 	0.000000e+00 	0.000000e+00 	7.087392e+21 	
17181 	5.100904e+01 	6.018387e-03 	1.464674e-08 	3.206104e+04 	6.022735e-04 	3.103167e+25 	6.618025e+07 	4.920924e+07 	3.103649e+25 	6.323514e+07 	0.000000e+00 	0.000000e+00 	7.558377e+21 	
17258 	5.140737e+01 	2.902308e-03 	1.457577e-08 	3.186212e+04 	6.002869e-04 	3.103235e+25 	5.397137e+07 	4.906601e+07 	3.103723e+25 	5.833905e+07 	0.000000e+00 	0.000000e+00 	7.623910e+21 	
17348 	5.180723e+01 	5.053419e-03 	1.460594e-08 	3.045550e+04 	5.980405e-04 	3.103319e+25 	6.583367e+07 	4.707917e+07 	3.103808e+25 	6.717867e+07 	0.000000e+00 	0.000000e+00 	7.195288e+21 	
17349 	5.181228e+01 	5.064927e-03 	1.460676e-08 	3.048218e+04 	5.980118e-04 	3.103320e+25 	9.177241e+05 	4.712261e+07 	3.103809e+25 	8.123181e+05 	0.000000e+00 	0.000000e+00 	7.202234e+21 	
17421 	5.221429e+01 	6.276851e-03 	1.463054e-08 	3.195707e+04 	5.960173e-04 	3.103401e+25 	6.392452e+07 	4.956394e+07 	3.103887e+25 	6.189684e+07 	0.000000e+00 	0.000000e+00 	7.624199e+21 	
17506 	5.261323e+01 	4.156762e-03 	1.457689e-08 	3.161512e+04 	5.943280e-04 	3.103470e+25 	5.414211e+07 	4.917360e+07 	3.103962e+25 	5.888583e+07 	0.000000e+00 	0.000000e+00 	7.621327e+21 	
17591 	5.301662e+01 	5.223014e-03 	1.462158e-08 	3.058554e+04 	5.930641e-04 	3.103557e+25 	6.899988e+07 	4.767597e+07 	3.104047e+25 	6.746728e+07 	0.000000e+00 	0.000000e+00 	7.291673e+21 	
17660 	5.341525e+01 	6.527989e-03 	1.462250e-08 	3.187270e+04 	5.924208e-04 	3.103635e+25 	6.197875e+07 	4.973291e+07 	3.104124e+25 	6.066582e+07 	0.000000e+00 	0.000000e+00 	7.667604e+21 	
17751 	5.381541e+01 	4.519000e-03 	1.456159e-08 	3.136061e+04 	5.918526e-04 	3.103705e+25 	5.473572e+07 	4.898206e+07 	3.104201e+25 	6.046316e+07 	0.000000e+00 	0.000000e+00 	7.583486e+21 	
17833 	5.422108e+01 	5.438448e-03 	1.460287e-08 	3.082753e+04 	5.920073e-04 	3.103795e+25 	7.091964e+07 	4.813822e+07 	3.104285e+25 	6.672354e+07 	0.000000e+00 	0.000000e+00 	7.376732e+21 	
17899 	5.462077e+01 	6.908685e-03 	1.459375e-08 	3.183412e+04 	5.924323e-04 	3.103871e+25 	6.022914e+07 	4.967183e+07 	3.104362e+25 	6.030308e+07 	0.000000e+00 	0.000000e+00 	7.705279e+21 	
17996 	5.502431e+01 	4.727630e-03 	1.455489e-08 	3.104464e+04 	5.928207e-04 	3.103941e+25 	5.505240e+07 	4.841030e+07 	3.104442e+25 	6.323986e+07 	0.000000e+00 	0.000000e+00 	7.524170e+21 	
18074 	5.542587e+01 	5.673629e-03 	1.459848e-08 	3.084748e+04 	5.926797e-04 	3.104030e+25 	7.087098e+07 	4.811475e+07 	3.104525e+25 	6.562548e+07 	0.000000e+00 	0.000000e+00 	7.459713e+21 	
18137 	5.582666e+01 	7.328700e-03 	1.457661e-08 	3.168425e+04 	5.924446e-04 	3.104105e+25 	5.889150e+07 	4.943736e+07 	3.104602e+25 	6.072446e+07 	0.000000e+00 	0.000000e+00 	7.752428e+21 	
18240 	5.622957e+01 	4.940225e-03 	1.455324e-08 	3.075995e+04 	5.922244e-04 	3.104175e+25 	5.513924e+07 	4.801528e+07 	3.104685e+25 	6.571415e+07 	0.000000e+00 	0.000000e+00 	7.509666e+21 	
18314 	5.662865e+01 	5.975068e-03 	1.459248e-08 	3.083431e+04 	5.901627e-04 	3.104264e+25 	7.054317e+07 	4.829903e+07 	3.104768e+25 	6.501510e+07 	0.000000e+00 	0.000000e+00 	7.570971e+21 	
18400 	5.703004e+01 	3.985535e-03 	1.457710e-08 	3.156694e+04 	5.883191e-04 	3.104337e+25 	5.745135e+07 	4.959943e+07 	3.104845e+25 	6.079982e+07 	0.000000e+00 	0.000000e+00 	7.823924e+21 	
18485 	5.743350e+01 	5.233944e-03 	1.456019e-08 	3.050746e+04 	5.864852e-04 	3.104409e+25 	5.664521e+07 	4.808705e+07 	3.104932e+25 	6.910616e+07 	0.000000e+00 	0.000000e+00 	7.645074e+21 	
18555 	5.783662e+01 	6.456712e-03 	1.457515e-08 	3.082134e+04 	5.823219e-04 	3.104500e+25 	7.236501e+07 	4.892775e+07 	3.105015e+25 	6.543993e+07 	0.000000e+00 	0.000000e+00 	7.714849e+21 	
18650 	5.823498e+01 	4.700880e-03 	1.453804e-08 	3.139160e+04 	5.790462e-04 	3.104573e+25 	5.693681e+07 	5.011294e+07 	3.105094e+25 	6.232880e+07 	0.000000e+00 	0.000000e+00 	7.901195e+21 	
18729 	5.863877e+01 	5.604984e-03 	1.453681e-08 	3.024117e+04 	5.752918e-04 	3.104650e+25 	6.147313e+07 	4.859394e+07 	3.105185e+25 	7.191516e+07 	0.000000e+00 	0.000000e+00 	7.785953e+21 	
18899 	5.943987e+01 	5.060218e-03 	1.448923e-08 	3.123264e+04 	5.656892e-04 	3.104812e+25 	1.273263e+08 	5.103488e+07 	3.105355e+25 	1.340505e+08 	0.000000e+00 	0.000000e+00 	8.014468e+21 	
18972 	5.984313e+01 	6.120420e-03 	1.448594e-08 	2.990775e+04 	5.602860e-04 	3.104896e+25 	6.637736e+07 	4.934404e+07 	3.105445e+25 	7.096309e+07 	0.000000e+00 	0.000000e+00 	7.928984e+21 	
19066 	6.024306e+01 	4.611434e-03 	1.447519e-08 	3.095650e+04 	5.542312e-04 	3.104981e+25 	6.703330e+07 	5.162839e+07 	3.105528e+25 	6.553047e+07 	0.000000e+00 	0.000000e+00 	8.099283e+21 	
19146 	6.064518e+01 	5.491016e-03 	1.445385e-08 	3.100071e+04 	5.489577e-04 	3.105055e+25 	5.838271e+07 	5.219780e+07 	3.105621e+25 	7.404996e+07 	0.000000e+00 	0.000000e+00 	8.232276e+21 	
19212 	6.104509e+01 	6.822310e-03 	1.443587e-08 	2.971030e+04 	5.418228e-04 	3.105146e+25 	7.217148e+07 	5.068638e+07 	3.105709e+25 	6.910840e+07 	0.000000e+00 	0.000000e+00 	8.036323e+21 	
19317 	6.144615e+01 	5.036513e-03 	1.441594e-08 	3.101245e+04 	5.350611e-04 	3.105229e+25 	6.544620e+07 	5.357131e+07 	3.105797e+25 	6.961708e+07 	0.000000e+00 	0.000000e+00 	8.274023e+21 	
19391 	6.185256e+01 	6.074614e-03 	1.438140e-08 	3.068934e+04 	5.286849e-04 	3.105307e+25 	6.171508e+07 	5.365237e+07 	3.105890e+25 	7.348796e+07 	0.000000e+00 	0.000000e+00 	8.488937e+21 	
19485 	6.225243e+01 	4.598308e-03 	1.435357e-08 	3.028647e+04 	5.214834e-04 	3.105404e+25 	7.676541e+07 	5.367921e+07 	3.105975e+25 	6.701886e+07 	0.000000e+00 	0.000000e+00 	8.269967e+21 	
19565 	6.265348e+01 	5.470980e-03 	1.432442e-08 	3.105155e+04 	5.155187e-04 	3.105485e+25 	6.399914e+07 	5.566830e+07 	3.106069e+25 	7.413030e+07 	0.000000e+00 	0.000000e+00 	8.437419e+21 	
19632 	6.305799e+01 	6.797751e-03 	1.430284e-08 	3.022508e+04 	5.099996e-04 	3.105576e+25 	7.168172e+07 	5.477467e+07 	3.106158e+25 	7.041353e+07 	0.000000e+00 	0.000000e+00 	8.540947e+21 	
19736 	6.345822e+01 	5.009871e-03 	1.428591e-08 	3.067725e+04 	5.062271e-04 	3.105667e+25 	7.182451e+07 	5.600608e+07 	3.106247e+25 	6.966554e+07 	0.000000e+00 	0.000000e+00 	8.408181e+21 	
19809 	6.385582e+01 	5.999789e-03 	1.427225e-08 	3.084738e+04 	5.029168e-04 	3.105747e+25 	6.302529e+07 	5.668608e+07 	3.106338e+25 	7.247598e+07 	0.000000e+00 	0.000000e+00 	8.672197e+21 	
19904 	6.425917e+01 	4.611216e-03 	1.426151e-08 	2.990744e+04 	5.013119e-04 	3.105846e+25 	7.777163e+07 	5.513762e+07 	3.106424e+25 	6.800714e+07 	0.000000e+00 	0.000000e+00 	8.343891e+21 	
19984 	6.466144e+01 	5.488522e-03 	1.424970e-08 	3.090534e+04 	5.004780e-04 	3.105930e+25 	6.678234e+07 	5.706861e+07 	3.106519e+25 	7.453487e+07 	0.000000e+00 	0.000000e+00 	8.471657e+21 	
20062 	6.506148e+01 	1.675272e-03 	1.425837e-08 	3.045685e+04 	4.999832e-04 	3.106018e+25 	6.944557e+07 	5.629755e+07 	3.106607e+25 	6.968358e+07 	0.000000e+00 	0.000000e+00 	8.679899e+21 	
20157 	6.546541e+01 	5.117555e-03 	1.425792e-08 	3.049968e+04 	5.003563e-04 	3.106114e+25 	7.539758e+07 	5.633462e+07 	3.106699e+25 	7.263491e+07 	0.000000e+00 	0.000000e+00 	8.434168e+21 	
20229 	6.586693e+01 	6.163512e-03 	1.424965e-08 	3.077554e+04 	5.006736e-04 	3.106195e+25 	6.413410e+07 	5.680722e+07 	3.106795e+25 	7.602922e+07 	0.000000e+00 	0.000000e+00 	8.728320e+21 	
20330 	6.626551e+01 	4.875663e-03 	1.424211e-08 	2.979117e+04 	5.005591e-04 	3.106293e+25 	7.715221e+07 	5.500610e+07 	3.106884e+25 	7.003447e+07 	0.000000e+00 	0.000000e+00 	8.410655e+21 	
20406 	6.666689e+01 	5.779707e-03 	1.422185e-08 	3.077797e+04 	5.003241e-04 	3.106378e+25 	6.734070e+07 	5.685131e+07 	3.106986e+25 	8.040597e+07 	0.000000e+00 	0.000000e+00 	8.619240e+21 	
20506 	6.707245e+01 	4.735011e-03 	1.422240e-08 	3.032339e+04 	4.994502e-04 	3.106466e+25 	6.934559e+07 	5.611103e+07 	3.107082e+25 	7.614909e+07 	0.000000e+00 	0.000000e+00 	8.889040e+21 	
20584 	6.747220e+01 	5.579997e-03 	1.421125e-08 	3.026476e+04 	4.962697e-04 	3.106561e+25 	7.507527e+07 	5.636097e+07 	3.107185e+25 	8.072453e+07 	0.000000e+00 	0.000000e+00 	8.635949e+21 	
20683 	6.787525e+01 	4.648198e-03 	1.419277e-08 	3.064256e+04 	4.935434e-04 	3.106642e+25 	6.435413e+07 	5.737781e+07 	3.107287e+25 	8.102756e+07 	0.000000e+00 	0.000000e+00 	9.117267e+21 	
20762 	6.827410e+01 	5.485886e-03 	1.416527e-08 	2.965806e+04 	4.864992e-04 	3.106742e+25 	7.845570e+07 	5.634040e+07 	3.107391e+25 	8.165916e+07 	0.000000e+00 	0.000000e+00 	8.874051e+21 	
20860 	6.867906e+01 	4.529633e-03 	1.412488e-08 	3.052094e+04 	4.789477e-04 	3.106831e+25 	7.039971e+07 	5.888873e+07 	3.107499e+25 	8.535331e+07 	0.000000e+00 	0.000000e+00 	9.240112e+21 	
20940 	6.907721e+01 	5.407034e-03 	1.408576e-08 	3.024175e+04 	4.702965e-04 	3.106923e+25 	7.273417e+07 	5.942235e+07 	3.107604e+25 	8.308218e+07 	0.000000e+00 	0.000000e+00 	9.453771e+21 	
21037 	6.948132e+01 	4.380130e-03 	1.404797e-08 	3.010699e+04 	4.585340e-04 	3.107024e+25 	7.986078e+07 	6.067254e+07 	3.107715e+25 	8.757160e+07 	0.000000e+00 	0.000000e+00 	9.372276e+21 	
21119 	6.988405e+01 	5.348288e-03 	1.398731e-08 	3.048987e+04 	4.481391e-04 	3.107114e+25 	7.057647e+07 	6.286478e+07 	3.107822e+25 	8.477369e+07 	0.000000e+00 	0.000000e+00 	9.794659e+21 	
21215 	7.028326e+01 	4.271681e-03 	1.394593e-08 	2.961427e+04 	4.355897e-04 	3.107223e+25 	8.655426e+07 	6.281867e+07 	3.107934e+25 	8.777595e+07 	0.000000e+00 	0.000000e+00 	9.529920e+21 	
21298 	7.068731e+01 	5.309838e-03 	1.389199e-08 	3.045647e+04 	4.246218e-04 	3.107319e+25 	7.576163e+07 	6.626628e+07 	3.108041e+25 	8.510171e+07 	0.000000e+00 	0.000000e+00 	9.989887e+21 	
21393 	7.108757e+01 	4.046143e-03 	1.386224e-08 	3.006510e+04 	4.148612e-04 	3.107430e+25 	8.763358e+07 	6.695223e+07 	3.108154e+25 	8.879555e+07 	0.000000e+00 	0.000000e+00 	9.954678e+21 	
21477 	7.149050e+01 	5.254258e-03 	1.382311e-08 	3.036285e+04 	4.069655e-04 	3.107532e+25 	8.022115e+07 	6.892259e+07 	3.108262e+25 	8.508041e+07 	0.000000e+00 	0.000000e+00 	1.009709e+22 	
21567 	7.188971e+01 	3.023317e-03 	1.380637e-08 	3.031621e+04 	4.015464e-04 	3.107644e+25 	8.867286e+07 	6.974354e+07 	3.108375e+25 	8.913888e+07 	0.000000e+00 	0.000000e+00 	1.014373e+22 	
21655 	7.229168e+01 	5.153127e-03 	1.377397e-08 	3.031657e+04 	3.983260e-04 	3.107750e+25 	8.362770e+07 	7.030690e+07 	3.108482e+25 	8.484034e+07 	0.000000e+00 	0.000000e+00 	1.015276e+22 	
21727 	7.269498e+01 	6.169104e-03 	1.375609e-08 	3.039349e+04 	3.962030e-04 	3.107865e+25 	9.083011e+07 	7.086166e+07 	3.108595e+25 	8.897321e+07 	0.000000e+00 	0.000000e+00 	1.020015e+22 	
21830 	7.309604e+01 	4.922182e-03 	1.373273e-08 	3.035499e+04 	3.952547e-04 	3.107972e+25 	8.424929e+07 	7.094150e+07 	3.108698e+25 	8.161686e+07 	0.000000e+00 	0.000000e+00 	1.015209e+22 	
21905 	7.349578e+01 	5.834730e-03 	1.372496e-08 	3.043724e+04 	3.943980e-04 	3.108085e+25 	8.948272e+07 	7.128741e+07 	3.108802e+25 	8.205445e+07 	0.000000e+00 	0.000000e+00 	1.014036e+22 	
21993 	7.389712e+01 	4.002755e-03 	1.370873e-08 	3.028517e+04 	3.937275e-04 	3.108192e+25 	8.477286e+07 	7.105259e+07 	3.108898e+25 	7.555574e+07 	0.000000e+00 	0.000000e+00 	1.001844e+22 	
22077 	7.429934e+01 	5.268896e-03 	1.371428e-08 	3.042334e+04 	3.934414e-04 	3.108306e+25 	8.993654e+07 	7.142777e+07 	3.108992e+25 	7.435112e+07 	0.000000e+00 	0.000000e+00 	9.992551e+21 	
22147 	7.470372e+01 	6.445268e-03 	1.370708e-08 	3.018481e+04 	3.936164e-04 	3.108416e+25 	8.671641e+07 	7.083765e+07 	3.109079e+25 	6.891749e+07 	0.000000e+00 	0.000000e+00 	9.696439e+21 	
22224 	7.510144e+01 	3.580588e-03 	1.371539e-08 	3.041366e+04 	3.966093e-04 	3.108526e+25 	8.659175e+07 	7.083609e+07 	3.109160e+25 	6.343612e+07 	0.000000e+00 	0.000000e+00 	9.680623e+21 	
22310 	7.550684e+01 	5.263635e-03 	1.376618e-08 	3.015592e+04 	4.033353e-04 	3.108635e+25 	8.580948e+07 	6.906863e+07 	3.109241e+25 	6.438258e+07 	0.000000e+00 	0.000000e+00 	9.107963e+21 	
22379 	7.590616e+01 	6.485257e-03 	1.376146e-08 	3.035041e+04 	4.142811e-04 	3.108739e+25 	8.279110e+07 	6.768060e+07 	3.109314e+25 	5.724629e+07 	0.000000e+00 	0.000000e+00 	9.176076e+21 	
22433 	7.630905e+01 	8.907291e-03 	1.378647e-08 	2.998788e+04 	4.343746e-04 	3.108842e+25 	8.101417e+07 	6.378706e+07 	3.109383e+25 	5.512983e+07 	0.000000e+00 	0.000000e+00 	8.514859e+21 	
22516 	7.670768e+01 	4.809911e-03 	1.391122e-08 	3.031103e+04 	4.517260e-04 	3.108931e+25 	6.995875e+07 	6.200157e+07 	3.109453e+25 	5.456040e+07 	0.000000e+00 	0.000000e+00 	8.371894e+21 	
22593 	7.711269e+01 	5.818033e-03 	1.395304e-08 	2.972836e+04 	4.862892e-04 	3.109030e+25 	7.823309e+07 	5.649804e+07 	3.109516e+25 	5.019563e+07 	0.000000e+00 	0.000000e+00 	7.846789e+21 	
22654 	7.751249e+01 	7.604801e-03 	1.391138e-08 	3.021089e+04 	5.140292e-04 	3.109108e+25 	6.207697e+07 	5.432057e+07 	3.109575e+25 	4.621393e+07 	0.000000e+00 	0.000000e+00 	7.800974e+21 	
22698 	7.791301e+01 	1.144516e-02 	1.408262e-08 	2.949399e+04 	5.485847e-04 	3.109193e+25 	6.702650e+07 	4.969876e+07 	3.109634e+25 	4.715441e+07 	0.000000e+00 	0.000000e+00 	7.183192e+21 	
22757 	7.831473e+01 	4.522025e-03 	1.427804e-08 	2.991011e+04 	5.852044e-04 	3.109270e+25 	6.020670e+07 	4.724998e+07 	3.109690e+25 	4.396846e+07 	0.000000e+00 	0.000000e+00 	7.064296e+21 	
22835 	7.871547e+01 	5.692979e-03 	1.417984e-08 	2.980237e+04 	6.159888e-04 	3.109334e+25 	5.061276e+07 	4.473071e+07 	3.109741e+25 	4.011727e+07 	0.000000e+00 	0.000000e+00 	7.080445e+21 	
22898 	7.911797e+01 	7.374029e-03 	1.405366e-08 	2.860777e+04 	6.520240e-04 	3.109404e+25 	5.549229e+07 	4.057034e+07 	3.109789e+25 	3.755792e+07 	0.000000e+00 	0.000000e+00 	6.366101e+21 	
22944 	7.952229e+01 	1.099925e-02 	1.431860e-08 	2.960184e+04 	6.943746e-04 	3.109475e+25 	5.612851e+07 	3.942119e+07 	3.109836e+25 	3.750968e+07 	0.000000e+00 	0.000000e+00 	6.255516e+21 	
22973 	7.992859e+01 	1.899405e-02 	1.467589e-08 	2.942120e+04 	7.276372e-04 	3.109531e+25 	4.408390e+07 	3.739208e+07 	3.109888e+25 	4.108362e+07 	0.000000e+00 	0.000000e+00 	6.359373e+21 	
22989 	8.032226e+01 	3.240802e-03 	1.459472e-08 	2.835996e+04 	7.553796e-04 	3.109578e+25 	3.676782e+07 	3.472269e+07 	3.109930e+25 	3.279917e+07 	0.000000e+00 	0.000000e+00 	6.162430e+21 	
23076 	8.072521e+01 	5.702895e-03 	1.434605e-08 	2.849963e+04 	7.990332e-04 	3.109639e+25 	4.884398e+07 	3.298926e+07 	3.109970e+25 	3.205959e+07 	0.000000e+00 	0.000000e+00 	5.823922e+21 	
23139 	8.112571e+01 	7.267299e-03 	1.418361e-08 	2.937969e+04 	8.468475e-04 	3.109696e+25 	4.506984e+07 	3.208878e+07 	3.110008e+25 	2.977580e+07 	0.000000e+00 	0.000000e+00 	5.851836e+21 	
23186 	8.152790e+01 	1.053152e-02 	1.449961e-08 	2.897657e+04 	8.842145e-04 	3.109741e+25 	3.522225e+07 	3.031282e+07 	3.110046e+25 	2.968428e+07 	0.000000e+00 	0.000000e+00 	5.720358e+21 	
23217 	8.193979e+01 	1.780352e-02 	1.506545e-08 	2.734426e+04 	9.179966e-04 	3.109781e+25 	3.184301e+07 	2.755510e+07 	3.110090e+25 	3.470788e+07 	0.000000e+00 	0.000000e+00 	5.395565e+21 	
23235 	8.235939e+01 	3.261941e-02 	1.526522e-08 	2.724525e+04 	9.559318e-04 	3.109827e+25 	3.575777e+07 	2.636683e+07 	3.110133e+25 	3.404683e+07 	0.000000e+00 	0.000000e+00 	5.230922e+21 	
23245 	8.277214e+01 	4.824321e-02 	1.493056e-08 	2.858159e+04 	1.013721e-03 	3.109884e+25 	4.556096e+07 	2.608353e+07 	3.110170e+25 	2.934138e+07 	0.000000e+00 	0.000000e+00 	5.436261e+21 	
23296 	8.313320e+01 	5.718409e-03 	1.466676e-08 	2.909805e+04 	1.050007e-03 	3.109920e+25 	2.781984e+07 	2.563755e+07 	3.110195e+25 	2.016058e+07 	0.000000e+00 	0.000000e+00 	5.510252e+21 	
23360 	8.353965e+01 	7.154985e-03 	1.437197e-08 	2.833199e+04 	1.087509e-03 	3.109956e+25 	2.875207e+07 	2.410301e+07 	3.110226e+25 	2.456596e+07 	0.000000e+00 	0.000000e+00 	5.447650e+21 	
23409 	8.394350e+01 	9.848591e-03 	1.455279e-08 	2.657510e+04 	1.119263e-03 	3.109987e+25 	2.434550e+07 	2.196851e+07 	3.110257e+25 	2.411750e+07 	0.000000e+00 	0.000000e+00 	5.067936e+21 	
23442 	8.433938e+01 	1.537626e-02 	1.521936e-08 	2.561802e+04 	1.150164e-03 	3.110017e+25 	2.369075e+07 	2.060931e+07 	3.110288e+25 	2.479224e+07 	0.000000e+00 	0.000000e+00 	4.452853e+21 	
