#Redshift = 7.10e+00 Effective Boxsize = 5.69e+04 [kpc/h] VelScale = 8.89e+03 [km/s]
#x = 3.16e-01 y = 1.97e-01 z = 3.95e-01
#uvec = 1.82e-01 -7.93e-01 5.82e-01
#velocity [km/s], tau_HILya, tau_HeI584, tau_HeIILya, nHI [cm^-3], nHeII [cm^-3], Delta_b, T [K], los pos [kpc/h], vpec [km/sec]
2.08302e+01 2.26324e+05 6.09860e+03 4.51443e+03 8.66652e-06 8.68712e-07 2.80162e+01 1.25954e+04 1.33333e+02 -1.10847e+02
2.14811e+01 2.18541e+05 5.85764e+03 4.33747e+03 3.44093e-06 3.66141e-07 1.18082e+01 1.25869e+04 1.37500e+02 -1.09965e+02
2.21321e+01 2.10660e+05 5.63918e+03 4.17699e+03 2.21136e-06 2.17870e-07 7.02637e+00 1.23439e+04 1.41667e+02 -1.18289e+02
2.27830e+01 2.02952e+05 5.43087e+03 4.02395e+03 1.61918e-06 1.67209e-07 5.39254e+00 1.26667e+04 1.45833e+02 -1.22070e+02
2.34340e+01 1.95595e+05 5.22467e+03 3.87245e+03 7.57125e-07 1.08629e-07 3.50331e+00 1.43658e+04 1.50000e+02 -1.15715e+02
2.40849e+01 1.88709e+05 5.02550e+03 3.72611e+03 5.42837e-07 1.00197e-07 3.23138e+00 1.62719e+04 1.54167e+02 -1.09225e+02
2.47358e+01 1.82387e+05 4.84267e+03 3.59174e+03 5.58146e-07 1.00449e-07 3.23951e+00 1.62490e+04 1.58333e+02 -1.08755e+02
2.53868e+01 1.76695e+05 4.68122e+03 3.47305e+03 4.76099e-07 8.25612e-08 2.66262e+00 1.61081e+04 1.62500e+02 -1.08217e+02
2.60377e+01 1.71670e+05 4.54319e+03 3.37151e+03 3.35156e-07 5.55028e-08 1.78998e+00 1.58940e+04 1.66667e+02 -1.07444e+02
2.66887e+01 1.67293e+05 4.43106e+03 3.28897e+03 2.00587e-07 3.14072e-08 1.01289e+00 1.55309e+04 1.70833e+02 -1.06369e+02
2.73396e+01 1.63488e+05 4.34571e+03 3.22605e+03 1.07294e-07 1.57928e-08 5.09320e-01 1.46791e+04 1.75000e+02 -1.04816e+02
2.79906e+01 1.60117e+05 4.28185e+03 3.17888e+03 6.09643e-08 8.22958e-09 2.65406e-01 1.21481e+04 1.79167e+02 -1.02185e+02
2.86415e+01 1.56995e+05 4.22792e+03 3.13900e+03 4.98297e-08 5.69930e-09 1.83804e-01 7.15871e+03 1.83333e+02 -9.86688e+01
2.92925e+01 1.53930e+05 4.17132e+03 3.09715e+03 6.33154e-08 5.97360e-09 1.92650e-01 3.29299e+03 1.87500e+02 -9.64687e+01
2.99434e+01 1.50751e+05 4.10263e+03 3.04645e+03 9.67208e-08 8.29920e-09 2.67651e-01 2.15100e+03 1.91667e+02 -9.59518e+01
3.05943e+01 1.47349e+05 4.01563e+03 2.98232e+03 1.42306e-07 1.16982e-08 3.77270e-01 1.86107e+03 1.95833e+02 -9.57492e+01
3.12453e+01 1.43698e+05 3.90738e+03 2.90261e+03 1.92546e-07 1.54944e-08 4.99697e-01 1.82160e+03 2.00000e+02 -9.55913e+01
3.18962e+01 1.39855e+05 3.78103e+03 2.80964e+03 2.37965e-07 1.89424e-08 6.10898e-01 1.88409e+03 2.04167e+02 -9.54289e+01
3.25472e+01 1.35947e+05 3.64707e+03 2.71109e+03 2.70219e-07 2.14162e-08 6.90677e-01 2.02895e+03 2.08333e+02 -9.52404e+01
3.31981e+01 1.32127e+05 3.51930e+03 2.61707e+03 2.87034e-07 2.27723e-08 7.34414e-01 2.26284e+03 2.12500e+02 -9.50135e+01
3.38491e+01 1.28540e+05 3.40856e+03 2.53555e+03 2.91709e-07 2.32830e-08 7.50882e-01 2.58965e+03 2.16667e+02 -9.47473e+01
3.45000e+01 1.25278e+05 3.31949e+03 2.46990e+03 2.88324e-07 2.32564e-08 7.50026e-01 2.98999e+03 2.20833e+02 -9.44239e+01
3.51509e+01 1.22365e+05 3.25120e+03 2.41949e+03 2.78864e-07 2.28310e-08 7.36306e-01 3.43312e+03 2.25000e+02 -9.39998e+01
