Gas Data
Time: 0.000000e+00
radius	rho	ne	ne_prev	dne_dt	n_tot	dt	T	vel	nH1	fH1	fHeI	fHII	fHeII	fHeIII	j_lya
5317.0	2.6521212193829467e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00012050613508198743	1.0	1.0	0.0	0.0	0.0	0.0
5317.737	2.665610415190445e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0001211190523348813	1.0	1.0	0.0	0.0	0.0	0.0
5318.474	2.68684813443745e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00012208404422352825	1.0	1.0	0.0	0.0	0.0	0.0
5319.211	2.7195994020945357e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00012357218460547854	1.0	1.0	0.0	0.0	0.0	0.0
5319.948	2.768780856251855e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00012580687392318228	1.0	1.0	0.0	0.0	0.0	0.0
5320.686	2.8404793979357284e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00012906468660768268	1.0	1.0	0.0	0.0	0.0	0.0
5321.423	2.9411106605012006e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00013363713391196055	1.0	1.0	0.0	0.0	0.0	0.0
5322.16	3.0771529200832036e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0001398185734292168	1.0	1.0	0.0	0.0	0.0	0.0
5322.897	3.253577671735296e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00014783489817297784	1.0	1.0	0.0	0.0	0.0	0.0
5323.634	3.472493762989635e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0001577819292028996	1.0	1.0	0.0	0.0	0.0	0.0
5324.371	3.7317947517959e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0001695639547587491	1.0	1.0	0.0	0.0	0.0	0.0
5325.108	4.024236572522597e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00018285182157816736	1.0	1.0	0.0	0.0	0.0	0.0
5325.845	4.337239136546544e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00019707392009523812	1.0	1.0	0.0	0.0	0.0	0.0
5326.582	4.653573542372461e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0002114474096480299	1.0	1.0	0.0	0.0	0.0	0.0
5327.319	4.952921706397207e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00022504908442325152	1.0	1.0	0.0	0.0	0.0	0.0
5328.057	5.214427746631822e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00023693130231697211	1.0	1.0	0.0	0.0	0.0	0.0
5328.794	5.41787041870359e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00024617525766220516	1.0	1.0	0.0	0.0	0.0	0.0
5329.531	5.548214107714827e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0002520977675687196	1.0	1.0	0.0	0.0	0.0	0.0
5330.268	5.595880753056142e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00025426362754541485	1.0	1.0	0.0	0.0	0.0	0.0
5331.005	5.557985100522038e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0002525417384439969	1.0	1.0	0.0	0.0	0.0	0.0
5331.742	5.438167615680839e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00024709751443646196	1.0	1.0	0.0	0.0	0.0	0.0
5332.479	5.245551729685777e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00023834550272334044	1.0	1.0	0.0	0.0	0.0	0.0
5333.216	4.99313803435042e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00022687641954406433	1.0	1.0	0.0	0.0	0.0	0.0
5333.953	4.696008982850139e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00021337557600976828	1.0	1.0	0.0	0.0	0.0	0.0
5334.69	4.369670003545364e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00019854750222671213	1.0	1.0	0.0	0.0	0.0	0.0
5335.428	4.028270054603429e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00018303509349384416	1.0	1.0	0.0	0.0	0.0	0.0
5336.165	3.6855838232109047e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00016746423911919657	1.0	1.0	0.0	0.0	0.0	0.0
5336.902	3.3517199349981322e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0001522942512174646	1.0	1.0	0.0	0.0	0.0	0.0
5337.639	3.0348029887035084e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0001378942923992789	1.0	1.0	0.0	0.0	0.0	0.0
5338.376	2.7405728188147984e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00012452516721047832	1.0	1.0	0.0	0.0	0.0	0.0
5339.113	2.4725870871418845e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.00011234852741550884	1.0	1.0	0.0	0.0	0.0	0.0
5339.85	2.2325156528593294e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	0.0001014402474780967	1.0	1.0	0.0	0.0	0.0	0.0
5340.587	2.020489337468179e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	9.180627161880066e-05	1.0	1.0	0.0	0.0	0.0	0.0
5341.324	1.8354748139848555e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	8.339964789584798e-05	1.0	1.0	0.0	0.0	0.0	0.0
5342.061	1.6756485511247608e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	7.613751934715783e-05	1.0	1.0	0.0	0.0	0.0	0.0
5342.799	1.5385695955978553e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.990897481046944e-05	1.0	1.0	0.0	0.0	0.0	0.0
5343.536	1.4221769191595823e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.462036602180783e-05	1.0	1.0	0.0	0.0	0.0	0.0
5344.273	1.3238870867131794e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.015430778155593e-05	1.0	1.0	0.0	0.0	0.0	0.0
5345.01	1.2414855433589018e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.6410175936509594e-05	1.0	1.0	0.0	0.0	0.0	0.0
5345.747	1.1729712169817216e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.32970464878561e-05	1.0	1.0	0.0	0.0	0.0	0.0
5346.484	1.1165507534563569e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.073343365248282e-05	1.0	1.0	0.0	0.0	0.0	0.0
5347.221	1.0706120921717913e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.864608919711456e-05	1.0	1.0	0.0	0.0	0.0	0.0
5347.958	1.0337033816499758e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.6969044413739725e-05	1.0	1.0	0.0	0.0	0.0	0.0
5348.695	1.0045307756081599e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.5643509977879137e-05	1.0	1.0	0.0	0.0	0.0	0.0
5349.432	9.81973818739555e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.4618575042182984e-05	1.0	1.0	0.0	0.0	0.0	0.0
5350.17	9.650867320141153e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.3851265637467864e-05	1.0	1.0	0.0	0.0	0.0	0.0
5350.907	9.531925756017105e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.3310823213929984e-05	1.0	1.0	0.0	0.0	0.0	0.0
5351.644	9.457364943783881e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.2972036462965034e-05	1.0	1.0	0.0	0.0	0.0	0.0
5352.381	9.4234997680507e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.2818161089107605e-05	1.0	1.0	0.0	0.0	0.0	0.0
5353.118	9.427757576158198e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.283750756524924e-05	1.0	1.0	0.0	0.0	0.0	0.0
