skewer,alpha,step,t,dt,F_lya,F_inc,locIF,vIF_fd,vIF_fm,T_center,width_IF,nH_avg,nH_center,C_em
0000,-1.0,12215.0,13.75064,0.003985135,35913.5,9311.302,123.02009073233967,18349.24,3765.769,33556.45,6.080024e+23,3.851862e-05,2.260702e-05,0.2732024
0000,-1.0,12377.0,14.14149,0.004226152,36053.49,9305.09,130.06156837329763,17540.85,3490.845,32932.98,6.081025e+23,3.85195e-05,2.439381e-05,0.2725228
0000,-1.0,12539.0,14.53586,0.004270853,36285.12,9297.025,136.46791963707074,15963.24,3135.766,32084.51,6.086062e+23,3.862671e-05,2.716503e-05,0.2701549
0000,-1.0,12700.0,14.92811,0.004191249,36604.47,9286.644,142.3104342190545,14556.56,2933.052,31573.6,6.095868e+23,3.858301e-05,2.90299e-05,0.2716571
0000,-1.0,12860.0,15.3182,0.00399186,37000.87,9274.081,148.00712896954064,14188.65,2959.827,31641.27,6.111174e+23,3.860737e-05,2.872578e-05,0.2740109
0000,-1.0,13021.0,15.71375,0.003772154,37462.39,9261.105,154.15748541801622,15322.81,3243.463,32343.4,6.135773e+23,3.858305e-05,2.615206e-05,0.2791979
0000,-1.0,13181.0,16.10541,0.003560132,37946.55,9252.142,160.92676604018015,16860.03,3588.049,33144.65,6.169035e+23,3.851657e-05,2.359018e-05,0.2853388
0000,-1.0,13342.0,16.49814,0.00363463,38422.32,9246.19,167.96176279974134,17528.82,3536.956,33023.57,6.191151e+23,3.836772e-05,2.391967e-05,0.2889099
0000,-1.0,13504.0,16.89246,0.004000627,38859.71,9238.835,174.5268956578093,16349.18,3207.101,32244.01,6.226514e+23,3.818621e-05,2.638821e-05,0.2891431
0000,-1.0,13680.0,17.28293,0.001685021,39232.37,9231.691,180.35968891769335,14532.07,2918.111,31519.17,6.272484e+23,3.795724e-05,2.900733e-05,0.2895491
0000,-1.0,13850.0,17.67764,0.004041986,39547.87,9215.817,185.8522359040835,13684.58,2705.419,30962.64,6.308486e+23,3.767272e-05,3.125638e-05,0.2916588
0000,-1.0,14035.0,18.06909,0.004032401,39798.03,9200.32,190.92352559948085,12633.74,2543.386,30520.17,6.366344e+23,3.744792e-05,3.320984e-05,0.2911628
0000,-1.0,14241.0,18.46038,0.002811117,39992.27,9188.184,195.66104990278654,11797.46,2375.122,30039.24,6.393157e+23,3.728702e-05,3.553576e-05,0.291786
0000,-1.0,14451.0,18.85399,0.002766896,40137.19,9179.911,200.03240440699847,10890.44,2152.347,29367.46,6.386577e+23,3.724878e-05,3.920788e-05,0.2915999
0000,-1.0,14669.0,19.24597,0.000563596,40235.13,9175.672,203.85612443292302,9529.413,1892.136,28525.76,6.367719e+23,3.736279e-05,4.461822e-05,0.2904926
0000,-1.0,14910.0,19.63873,0.001044512,40291.52,9166.926,207.20025923525645,8327.664,1641.911,27651.66,6.318405e+23,3.764693e-05,5.141209e-05,0.2887595
0000,-1.0,15155.0,20.03355,0.00278691,40306.1,9155.25,210.13285806869862,7308.308,1438.2,26877.25,6.263341e+23,3.801599e-05,5.865957e-05,0.2876096
